CSC21_CSCID	GAIA3_source_id	p_i	p_any	separation_from_ngc2516
2CXO_J075812.7-603835 	5290819651869671552	1.0	0.9818861	9.426324
2CXO_J075813.8-604524 	5290722035852820224	1.0	0.9984486	2.748599
2CXO_J075814.1-605216 	5290673756122947584	1.0	0.9591324	4.3679996
2CXO_J075814.4-604332 	5290816147178225536	1.0	0.9967789	4.562441
2CXO_J075816.7-604650 	5290721279938737280	1.0	0.9994037	1.6955452
2CXO_J075817.2-604436 	5290815941018195456	1.0	0.9946012	3.6280527
2CXO_J075817.5-605004 	5290720901981530368	1.0	0.9944553	2.4762194
2CXO_J075818.0-604515 	5290815872298718208	1.0	0.9993285	3.0874329
2CXO_J075819.5-605003 	5290673962279011712	0.9998777	3.330669e-15	2.6034687
2CXO_J075819.8-604157 	5290816353334936576	1.0	0.9980986	6.251653
2CXO_J075820.3-604139 	5290816353334937216	1.0	0.9908382	6.5621123
2CXO_J075820.8-604617 	5290815112083961472	1.0	0.9984998	2.4362285
2CXO_J075821.0-604042 	5290819303972171776	1.0	1.696967e-10	7.5003567
2CXO_J075821.1-604423 	5290815975377934976	1.0	0.9983055	4.0195518
2CXO_J075822.2-604311 	5290816177235922560	1.0	0.9895287	5.183451
2CXO_J075822.3-605127 	5290673794780227072	1.0	0.9985461	3.9589262
2CXO_J075822.9-604020 	5290819342632176512	1.0	0.9980928	7.919673
2CXO_J075823.3-605456 	5290672660908938752	0.96952	0.9760594	7.2398796
2CXO_J075823.4-604649 	5290815047664997248	1.0	0.9984066	2.381867
2CXO_J075823.5-603721 	5290820064186534144	1.0	0.9836231	10.844979
2CXO_J075826.1-604413 	5290815906658459008	1.0	0.9973556	4.473096
2CXO_J075826.8-604510 	5290815150744301952	1.0	0.9974872	3.7692378
2CXO_J075827.8-604429 	5290815902358678784	1.0	0.9976438	4.3664584
2CXO_J075829.8-604900 	5290674000938662528	1.0	0.9986901	3.0121295
2CXO_J075830.1-604149 	5290816318975574784	1.0	0.9954799	6.8155093
2CXO_J075830.5-604629 	5290814875866306432	1.0	0.9933879	3.2963169
2CXO_J075830.7-604600 	5290815082024737152	1.0	0.9980973	3.5583992
2CXO_J075830.9-604726 	5290814841506654592	1.0	0.9928345	3.0275137
2CXO_J075831.1-603747 	5290820029826947968	1.0	0.9555085	10.649148
2CXO_J075831.4-605308 	5290672867067372672	1.0	0.958914	5.981039
2CXO_J075831.5-604645 	5290814875866393984	1.0	0.9982326	3.2971866
2CXO_J075832.2-604600 	5290815082024737664	1.0	0.9991525	3.7147305
2CXO_J075832.7-604852 	5290767837384566528	0.9999997	0.974125	3.3170412
2CXO_J075832.9-605128 	5290673657343046016	1.0	0.9857521	4.7444143
2CXO_J075833.2-604925 	5290767768665088512	1.0	0.9736541	3.5501072
2CXO_J075833.3-604427 	5290815253823430912	1.0	0.9994428	4.831546
2CXO_J075833.3-604624 	5290814875863124096	1.0	0.0	3.6404927
2CXO_J075833.5-604440 	5290815253823430272	1.0	0.9978131	4.6785846
2CXO_J075834.6-604204 	5290816112816893056	1.0	0.9825577	6.852597
2CXO_J075835.7-604652 	5290814807146918016	1.0	0.9994512	3.7384524
2CXO_J075836.1-604618 	5290814875866396032	1.0	0.9944699	3.990329
2CXO_J075836.4-605017 	5290767562500539392	0.997995	0.9979244	4.308721
2CXO_J075836.6-604806 	5290767871744305792	1.0	0.997833	3.6722784
2CXO_J075837.0-604627 	5290814978945611008	1.0	0.9965998	4.028758
2CXO_J075838.9-604823 	5290767871744305920	1.0	0.9805887	3.9766493
2CXO_J075839.0-604520 	5290815185103954048	1.0	0.963073	4.769288
2CXO_J075839.8-604235 	5290816422051120128	1.0	0.0	6.775007
2CXO_J075839.9-604142 	5290816486474806912	1.0	0.9864286	7.4990277
2CXO_J075840.7-604153 	5290816490774016128	1.0	0.9767115	7.405646
2CXO_J075843.3-604145 	5290816422049740800	1.0	0.9859676	7.698945
