source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,.separation,master_source.name,master_source.ra,master_source.dec,master_source.err_ellipse_r0,master_source.err_ellipse_r1,master_source.err_ellipse_ang,master_source.significance,master_source.likelihood_class,master_source.conf_flag,master_source.sat_src_flag,master_source.streak_src_flag,master_source.flux_aper_b,master_source.flux_aper_lolim_b,master_source.flux_aper_hilim_b,master_source.flux_aper_w,master_source.flux_aper_lolim_w,master_source.flux_aper_hilim_w,master_source.flux_aper_avg_b,master_source.flux_aper_avg_lolim_b,master_source.flux_aper_avg_hilim_b,master_source.flux_aper_avg_w,master_source.flux_aper_avg_lolim_w,master_source.flux_aper_avg_hilim_w,GroupID,GroupSize,Separation
5060505260431760384,52.800493396617284,-27.685259032292137,0.1570345930024723,0.42289764,0.37133002,11.194044504292957,0.37676251931143473,1.0145088,214.8921556185505,0.49792013,431.5796,19.856815,72.34926388611557,4.90945,14.736735,20.689957,214.86930271539512,5.0566325,42.49257,18.91746,1.7724972,0.8331413,0.93935585,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5060505294793186048,52.7567603848467,-27.709542956406594,0.616180168788189,0.023500951,26.219372,6.380002098212578,6.463986264144763,1.0225762,21654.60125440426,5.474471,3955.5605,14.848492,11993.290898626294,14.188466,845.28455,15.141196,13920.476700722911,10.820228,1286.5234,14.388761,0.7524357,0.29270458,0.4597311,,VARIABLE,0,true,true,false,true,false,true,true,5873.788,3.8001,-0.6629,2294.2917,0.0049,0.0042,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,
5060505329152923904,52.768817989729044,-27.704686125821947,1.3351289373217505,0.18809971,7.0979853,-1.665819230917677,-27.826803000135858,1.0721765,615.3214416427584,0.70700365,870.3229,18.714611,127.13009270238857,4.2966843,29.587954,20.07792,756.7028226876289,5.8873677,128.5299,17.550583,2.527338,1.3633099,1.1640282,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3448.2944,4.2506,-0.3233,1068.9799,0.5879,0.3836,0.2477,,,,,,,,,,,,,,,,,,,,,,,,,,,
5060505359215532544,52.74421517155278,-27.700427044708057,1.8045628503902038,0.1670152,10.804783,9.36949963733938,-1.9497678933881966,1.0203717,723.0653995144971,0.78042823,926.4983,18.539423,122.01204884577695,4.9392037,24.702778,20.122536,909.6778756566727,5.072882,179.3217,17.350676,2.7718601,1.5831127,1.1887474,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3433.5093,4.2364,-0.3204,865.0439,1.0192,0.6552,0.4265,,,,,,,,,,,,,,,,,,,,,,,,,,,
5060505363511094784,52.736455151691985,-27.698489571342122,1.5488130844714196,1.3769034,1.1248524,4.897683456442944,-8.295055759894563,0.9714078,85.09813847125048,0.56079084,151.74666,20.862566,22.279628385906996,3.4473128,6.4628973,21.968773,116.13322255666769,4.95058,23.458508,19.585505,2.3832684,1.1062069,1.2770615,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5060505363512633728,52.73702938333001,-27.700009427532432,3.773472789817293,0.45317346,8.326774,-13.65373314622569,-26.911419755123937,1.025652,200.6680114502752,0.5079116,395.08453,19.931171,42.22256200018898,3.1911864,13.230992,21.274681,292.7451401474968,5.0681906,57.761272,18.58167,2.6930103,1.3435097,1.3495007,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5060505427934984320,52.779120943913725,-27.68179575185605,1.5507331381181977,0.012644586,122.64009,14.07136447909619,0.7623722160757169,0.9594734,179984.32878586117,26.552256,6778.495,12.54928,86912.32517205486,32.378944,2684.2236,12.990839,131616.4181360441,30.477938,4318.416,11.94962,1.0412188,0.44155884,0.5996599,72.17364,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5081.197,3.6523,-0.2767,653.4473,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5060505432230570496,52.779649891592214,-27.683738278651834,0.29667585166538213,0.9772677,0.30357686,0.6363846552452547,-0.9826109038864037,1.027609,103.33999455324685,0.5591656,184.81108,20.651695,78.42183083935032,8.373729,9.365222,20.60245,117.78095409810285,10.001083,11.776819,19.570208,1.0322418,-0.049245834,1.0814877,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5060505500952130304,52.75933032290356,-27.67980099146268,1.649935171843023,0.27385464,6.0248575,8.918466548686114,2.362697916511972,1.0854414,375.2479597546445,0.5630114,666.5015,19.251572,84.79137386988101,4.094402,20.709099,20.517664,438.21921210364417,4.4035463,99.51507,18.143667,2.3739967,1.2660923,1.1079044,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5060505604030805248,52.696845543586655,-27.726518506899566,5.0894957734574,0.057221238,88.944176,-0.45172171424918117,-12.613601646130832,0.9787542,3500.671465124632,1.5180655,2306.0083,16.826988,665.4343928154581,5.8905115,112.96716,18.280779,4346.447884534088,7.0659337,615.1272,15.652559,2.6282196,1.4537907,1.1744289,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3463.7383,4.8766,-0.1787,198.5997,0.799,0.5214,0.3281,,,,,,,,,,,,,,,,,,,,,,,,,,,
